date,strike,expiry,type,oi,iv,days_to_expiry,settlement
2026-06-09,12500,2026-06-11,put,1190,0.2,2,1.0
2026-06-09,12750,2026-06-11,put,122,0.2,2,1.0
2026-06-09,13000,2026-06-11,put,127,0.2,2,1.0
2026-06-09,13250,2026-06-11,put,77,0.2,2,1.0
2026-06-09,13500,2026-06-11,put,55,0.2,2,1.0
2026-06-09,13750,2026-06-11,put,57,0.2,2,1.0
2026-06-09,14000,2026-06-11,put,76,0.2,2,1.0
2026-06-09,14500,2026-06-11,put,11,0.2,2,1.0
2026-06-09,14750,2026-06-11,put,50,0.2,2,1.0
2026-06-09,15000,2026-06-11,put,291,0.2,2,1.0
2026-06-09,15250,2026-06-11,put,51,0.2,2,1.0
2026-06-09,15500,2026-06-11,put,1350,0.2,2,1.0
2026-06-09,15750,2026-06-11,put,91,0.2,2,1.0
2026-06-09,16000,2026-06-11,put,422,0.2,2,1.0
2026-06-09,16250,2026-06-11,put,8,0.2,2,1.0
2026-06-09,16500,2026-06-11,put,51,0.2,2,1.0
2026-06-09,16750,2026-06-11,put,55,0.2,2,1.0
2026-06-09,17000,2026-06-11,put,65,0.2,2,1.0
2026-06-09,17250,2026-06-11,put,17,0.2,2,1.0
2026-06-09,17500,2026-06-11,put,117,0.2,2,1.0
2026-06-09,17750,2026-06-11,put,15,0.2,2,1.0
2026-06-09,18000,2026-06-11,put,297,0.2,2,1.0
2026-06-09,18250,2026-06-11,put,2,4.9732,2,1.0
2026-06-09,18500,2026-06-11,put,11,4.9207,2,1.0
2026-06-09,18750,2026-06-11,put,2,4.8689,2,1.0
2026-06-09,19000,2026-06-11,put,780,4.8179,2,1.0
2026-06-09,19250,2026-06-11,put,15,4.7675,2,1.0
2026-06-09,19500,2026-06-11,put,50,4.7178,2,1.0
2026-06-09,19750,2026-06-11,put,21,4.6687,2,1.0
2026-06-09,20000,2026-06-11,put,1804,4.6203,2,1.0
2026-06-09,20250,2026-06-11,put,29,4.5724,2,1.0
2026-06-09,20500,2026-06-11,put,69,4.5252,2,1.0
2026-06-09,20750,2026-06-11,put,21,4.4786,2,1.0
2026-06-09,21000,2026-06-11,put,433,4.4325,2,1.0
2026-06-09,21250,2026-06-11,put,4,4.3869,2,1.0
2026-06-09,21500,2026-06-11,put,424,4.3419,2,1.0
2026-06-09,21750,2026-06-11,put,22,4.2975,2,1.0
2026-06-09,22000,2026-06-11,put,963,4.2535,2,1.0
2026-06-09,22250,2026-06-11,put,1,4.2101,2,1.0
2026-06-09,22500,2026-06-11,put,19,4.1671,2,1.0
2026-06-09,22750,2026-06-11,put,143,4.1246,2,1.0
2026-06-09,23000,2026-06-11,put,667,4.0826,2,1.0
2026-06-09,23250,2026-06-11,put,5,4.0411,2,1.0
2026-06-09,23500,2026-06-11,put,14,4.0,2,1.0
2026-06-09,23750,2026-06-11,put,5,3.9593,2,1.0
2026-06-09,24000,2026-06-11,put,780,3.9191,2,1.0
2026-06-09,24250,2026-06-11,put,7,3.8792,2,1.0
2026-06-09,24500,2026-06-11,put,16,3.8398,2,1.0
2026-06-09,24750,2026-06-11,put,15,3.8008,2,1.0
2026-06-09,25000,2026-06-11,put,4459,3.7622,2,1.0
2026-06-09,25250,2026-06-11,put,12,3.724,2,1.0
2026-06-09,25500,2026-06-11,put,31,3.6861,2,1.0
2026-06-09,25750,2026-06-11,put,7,3.6487,2,1.0
2026-06-09,26000,2026-06-11,put,1270,3.6115,2,1.0
2026-06-09,26250,2026-06-11,put,4,3.5748,2,1.0
2026-06-09,26500,2026-06-11,put,97,3.5384,2,1.0
2026-06-09,26750,2026-06-11,put,14,3.5023,2,1.0
2026-06-09,27000,2026-06-11,put,1730,3.4666,2,1.0
2026-06-09,27250,2026-06-11,put,8,3.4311,2,1.0
2026-06-09,27500,2026-06-11,put,44,3.3961,2,1.0
2026-06-09,27750,2026-06-11,put,9,3.3613,2,1.0
2026-06-09,28000,2026-06-11,put,1103,3.3268,2,1.0
2026-06-09,28250,2026-06-11,put,29,3.2927,2,1.0
2026-06-09,28500,2026-06-11,put,105,3.2588,2,1.0
2026-06-09,28750,2026-06-11,put,595,3.2253,2,1.0
2026-06-09,29000,2026-06-11,put,187,3.192,2,1.0
2026-06-09,29250,2026-06-11,put,10,3.159,2,1.0
2026-06-09,29500,2026-06-11,put,35,3.1263,2,1.0
2026-06-09,29750,2026-06-11,put,46,3.0938,2,1.0
2026-06-09,30000,2026-06-11,put,9179,3.0617,2,1.0
2026-06-09,30250,2026-06-11,put,72,3.0297,2,1.0
2026-06-09,30500,2026-06-11,put,107,2.9981,2,1.0
2026-06-09,30750,2026-06-11,put,16,2.9667,2,1.0
2026-06-09,31000,2026-06-11,put,1507,2.9355,2,1.0
2026-06-09,31500,2026-06-11,put,420,2.874,2,1.0
2026-06-09,31750,2026-06-11,put,8,2.8436,2,1.0
2026-06-09,32000,2026-06-11,put,2366,2.8134,2,1.0
2026-06-09,32250,2026-06-11,put,21,2.7834,2,1.0
2026-06-09,32500,2026-06-11,put,291,2.7537,2,1.0
2026-06-09,32750,2026-06-11,put,69,2.7242,2,1.0
2026-06-09,33000,2026-06-11,put,3712,2.6949,2,1.0
2026-06-09,33250,2026-06-11,put,7,2.6658,2,1.0
2026-06-09,33500,2026-06-11,put,129,2.637,2,1.0
2026-06-09,33750,2026-06-11,put,407,2.6083,2,1.0
2026-06-09,34000,2026-06-11,put,5221,2.5799,2,1.0
2026-06-09,34250,2026-06-11,put,61,2.5516,2,1.0
2026-06-09,34500,2026-06-11,put,1049,2.5236,2,1.0
2026-06-09,34750,2026-06-11,put,17,2.4957,2,1.0
2026-06-09,35000,2026-06-11,put,3596,2.468,2,1.0
2026-06-09,35250,2026-06-11,put,17,2.4406,2,1.0
2026-06-09,35500,2026-06-11,put,719,2.4133,2,1.0
2026-06-09,35750,2026-06-11,put,75,2.3862,2,1.0
2026-06-09,36000,2026-06-11,put,5229,2.3593,2,1.0
2026-06-09,36250,2026-06-11,put,61,2.3325,2,1.0
2026-06-09,36500,2026-06-11,put,709,2.306,2,1.0
2026-06-09,36750,2026-06-11,put,234,2.2796,2,1.0
2026-06-09,37000,2026-06-11,put,5079,2.2534,2,1.0
2026-06-09,37250,2026-06-11,put,72,2.2273,2,1.0
2026-06-09,37500,2026-06-11,put,497,2.2014,2,1.0
2026-06-09,37750,2026-06-11,put,219,2.1757,2,1.0
2026-06-09,38000,2026-06-11,put,1891,2.1502,2,1.0
2026-06-09,38250,2026-06-11,put,4,2.1248,2,1.0
2026-06-09,38500,2026-06-11,put,1308,2.0995,2,1.0
2026-06-09,38750,2026-06-11,put,34,2.0744,2,1.0
2026-06-09,39000,2026-06-11,put,2788,2.0495,2,1.0
2026-06-09,39250,2026-06-11,put,100,2.0247,2,1.0
2026-06-09,39500,2026-06-11,put,1140,2.0001,2,1.0
2026-06-09,39750,2026-06-11,put,388,1.9756,2,1.0
2026-06-09,40000,2026-06-11,put,6083,1.9512,2,1.0
2026-06-09,40250,2026-06-11,put,18,2.0342,2,2.0
2026-06-09,40500,2026-06-11,put,1683,2.0785,2,3.0
2026-06-09,40750,2026-06-11,put,372,2.0526,2,3.0
2026-06-09,41000,2026-06-11,put,2771,2.0268,2,3.0
2026-06-09,41250,2026-06-11,put,56,2.0012,2,3.0
2026-06-09,41500,2026-06-11,put,725,1.9757,2,3.0
2026-06-09,41750,2026-06-11,put,219,1.9504,2,3.0
2026-06-09,42000,2026-06-11,put,4056,1.9252,2,3.0
2026-06-09,42250,2026-06-11,put,48,1.9002,2,3.0
2026-06-09,42500,2026-06-11,put,830,1.8752,2,3.0
2026-06-09,42750,2026-06-11,put,124,1.8505,2,3.0
2026-06-09,43000,2026-06-11,put,2831,1.8258,2,3.0
2026-06-09,43250,2026-06-11,put,127,1.8013,2,3.0
2026-06-09,43500,2026-06-11,put,810,1.8233,2,4.0
2026-06-09,43750,2026-06-11,put,105,1.7985,2,4.0
2026-06-09,44000,2026-06-11,put,2255,1.7284,2,3.0
2026-06-09,44250,2026-06-11,put,40,1.7492,2,4.0
2026-06-09,44500,2026-06-11,put,648,1.7247,2,4.0
2026-06-09,44750,2026-06-11,put,183,1.7004,2,4.0
2026-06-09,45000,2026-06-11,put,6675,1.6761,2,4.0
2026-06-09,45250,2026-06-11,put,13,1.6871,2,5.0
2026-06-09,45500,2026-06-11,put,175,1.6627,2,5.0
2026-06-09,45750,2026-06-11,put,339,1.6384,2,5.0
2026-06-09,46000,2026-06-11,put,2505,1.6141,2,5.0
2026-06-09,46250,2026-06-11,put,11,1.5163,2,3.0
2026-06-09,46500,2026-06-11,put,205,1.5661,2,5.0
2026-06-09,46750,2026-06-11,put,67,1.5947,2,7.0
2026-06-09,47000,2026-06-11,put,2667,1.5459,2,6.0
2026-06-09,47250,2026-06-11,put,56,1.5674,2,8.0
2026-06-09,47500,2026-06-11,put,358,1.5429,2,8.0
2026-06-09,47750,2026-06-11,put,45,1.5184,2,8.0
2026-06-09,48000,2026-06-11,put,3654,1.4941,2,8.0
2026-06-09,48125,2026-06-11,put,30,1.4385,2,6.0
2026-06-09,48250,2026-06-11,put,554,1.4884,2,9.0
2026-06-09,48375,2026-06-11,put,5,1.4762,2,9.0
2026-06-09,48500,2026-06-11,put,1582,1.481,2,10.0
2026-06-09,48625,2026-06-11,put,7,1.4687,2,10.0
2026-06-09,48750,2026-06-11,put,168,1.4564,2,10.0
2026-06-09,48875,2026-06-11,put,42,1.4442,2,10.0
2026-06-09,49000,2026-06-11,put,2129,1.432,2,10.0
2026-06-09,49125,2026-06-11,put,57,1.4198,2,10.0
2026-06-09,49250,2026-06-11,put,401,1.4076,2,10.0
2026-06-09,49375,2026-06-11,put,1,1.4105,2,11.0
2026-06-09,49500,2026-06-11,put,1275,1.3982,2,11.0
2026-06-09,49625,2026-06-11,put,3,1.3999,2,12.0
2026-06-09,49750,2026-06-11,put,70,1.3876,2,12.0
2026-06-09,49875,2026-06-11,put,19,1.3753,2,12.0
2026-06-09,50000,2026-06-11,put,13406,1.3758,2,13.0
2026-06-09,50125,2026-06-11,put,32,1.3635,2,13.0
2026-06-09,50250,2026-06-11,put,10,1.3631,2,14.0
2026-06-09,50375,2026-06-11,put,2,1.3508,2,14.0
2026-06-09,50500,2026-06-11,put,388,1.3496,2,15.0
2026-06-09,50625,2026-06-11,put,2,1.3372,2,15.0
2026-06-09,50750,2026-06-11,put,17,1.3248,2,15.0
2026-06-09,50875,2026-06-11,put,12,1.3228,2,16.0
2026-06-09,51000,2026-06-11,put,2353,1.3001,2,15.0
2026-06-09,51125,2026-06-11,put,2,1.298,2,16.0
2026-06-09,51250,2026-06-11,put,7,1.2954,2,17.0
2026-06-09,51375,2026-06-11,put,51,1.2922,2,18.0
2026-06-09,51500,2026-06-11,put,1064,1.2885,2,19.0
2026-06-09,51625,2026-06-11,put,3,1.276,2,19.0
2026-06-09,51750,2026-06-11,put,149,1.2719,2,20.0
2026-06-09,51875,2026-06-11,put,9,1.2674,2,21.0
2026-06-09,52000,2026-06-11,put,3252,1.2468,2,20.0
2026-06-09,52125,2026-06-11,put,8,1.2343,2,20.0
2026-06-09,52250,2026-06-11,put,198,1.2218,2,20.0
2026-06-09,52375,2026-06-11,put,55,1.2093,2,20.0
2026-06-09,52500,2026-06-11,put,852,1.1968,2,20.0
2026-06-09,52625,2026-06-11,put,6,1.192,2,21.0
2026-06-09,52750,2026-06-11,put,41,1.1869,2,22.0
2026-06-09,52875,2026-06-11,put,24,1.1814,2,23.0
2026-06-09,53000,2026-06-11,put,3668,1.1822,2,25.0
2026-06-09,53125,2026-06-11,put,24,1.1695,2,25.0
2026-06-09,53250,2026-06-11,put,52,1.1694,2,27.0
2026-06-09,53375,2026-06-11,put,8,1.1626,2,28.0
2026-06-09,53500,2026-06-11,put,837,1.1556,2,29.0
2026-06-09,53625,2026-06-11,put,34,1.1483,2,30.0
2026-06-09,53750,2026-06-11,put,40,1.1409,2,31.0
2026-06-09,53875,2026-06-11,put,5,1.1333,2,32.0
2026-06-09,54000,2026-06-11,put,3527,1.1255,2,33.0
2026-06-09,54125,2026-06-11,put,17,1.1125,2,33.0
2026-06-09,54250,2026-06-11,put,41,1.1187,2,37.0
2026-06-09,54375,2026-06-11,put,48,1.1056,2,37.0
2026-06-09,54500,2026-06-11,put,496,1.097,2,38.0
2026-06-09,54625,2026-06-11,put,9,1.0839,2,38.0
2026-06-09,54750,2026-06-11,put,126,1.0794,2,40.0
2026-06-09,54875,2026-06-11,put,8,1.0704,2,41.0
2026-06-09,55000,2026-06-11,put,5179,1.157,2,70.0
2026-06-09,55125,2026-06-11,put,52,1.0598,2,45.0
2026-06-09,55250,2026-06-11,put,687,1.0539,2,47.0
2026-06-09,55375,2026-06-11,put,11,1.0477,2,49.0
2026-06-09,55500,2026-06-11,put,643,1.0378,2,50.0
2026-06-09,55625,2026-06-11,put,6,1.0311,2,52.0
2026-06-09,55750,2026-06-11,put,45,1.0209,2,53.0
2026-06-09,55875,2026-06-11,put,12,1.0138,2,55.0
2026-06-09,56000,2026-06-11,put,5101,1.0185,2,61.0
2026-06-09,56125,2026-06-11,put,26,0.9988,2,59.0
2026-06-09,56250,2026-06-11,put,100,0.9967,2,63.0
2026-06-09,56375,2026-06-11,put,36,0.9857,2,64.0
2026-06-09,56500,2026-06-11,put,1399,0.9984,2,74.0
2026-06-09,56625,2026-06-11,put,21,0.9713,2,69.0
2026-06-09,56750,2026-06-11,put,318,0.9676,2,73.0
2026-06-09,56875,2026-06-11,put,8,0.9534,2,73.0
2026-06-09,57000,2026-06-11,put,4384,0.9874,2,94.0
2026-06-09,57125,2026-06-11,put,34,0.9324,2,76.0
2026-06-09,57250,2026-06-11,put,347,0.9206,2,77.0
2026-06-09,57375,2026-06-11,put,26,0.92,2,83.0
2026-06-09,57500,2026-06-11,put,290,0.935,2,97.0
2026-06-09,57625,2026-06-11,put,18,0.9081,2,91.0
2026-06-09,57750,2026-06-11,put,96,0.9016,2,95.0
2026-06-09,57875,2026-06-11,put,55,0.8947,2,99.0
2026-06-09,58000,2026-06-11,put,4879,0.9092,2,115.0
2026-06-09,58125,2026-06-11,put,11,0.8817,2,108.0
2026-06-09,58250,2026-06-11,put,731,0.8755,2,113.0
2026-06-09,58375,2026-06-11,put,82,0.8689,2,118.0
2026-06-09,58500,2026-06-11,put,794,0.8779,2,133.0
2026-06-09,58625,2026-06-11,put,85,0.8546,2,128.0
2026-06-09,58750,2026-06-11,put,28,0.8468,2,133.0
2026-06-09,58875,2026-06-11,put,78,0.8388,2,138.0
2026-06-09,59000,2026-06-11,put,3848,0.8542,2,160.0
2026-06-09,59125,2026-06-11,put,26,0.83,2,154.0
2026-06-09,59250,2026-06-11,put,137,0.8247,2,162.0
2026-06-09,59375,2026-06-11,put,44,0.8189,2,170.0
2026-06-09,59500,2026-06-11,put,1123,0.826,2,189.0
2026-06-09,59625,2026-06-11,put,252,0.8176,2,196.0
2026-06-09,59750,2026-06-11,put,93,0.8078,2,202.0
2026-06-09,59875,2026-06-11,put,13,0.7953,2,206.0
2026-06-09,60000,2026-06-11,put,4492,0.8189,2,244.0
2026-06-09,60125,2026-06-11,put,62,0.7848,2,228.0
2026-06-09,60250,2026-06-11,put,578,0.7877,2,248.0
2026-06-09,60375,2026-06-11,put,65,0.7758,2,254.0
2026-06-09,60500,2026-06-11,put,625,0.7779,2,275.0
2026-06-09,60625,2026-06-11,put,10,0.7523,2,267.0
2026-06-09,60750,2026-06-11,put,91,0.7683,2,305.0
2026-06-09,60875,2026-06-11,put,108,0.7583,2,315.0
2026-06-09,61000,2026-06-11,put,2755,0.752,2,330.0
2026-06-09,61125,2026-06-11,put,30,0.7532,2,355.0
2026-06-09,61250,2026-06-11,put,45,0.7455,2,370.0
2026-06-09,61375,2026-06-11,put,1,0.7373,2,385.0
2026-06-09,61500,2026-06-11,put,1906,0.736,2,410.0
2026-06-09,61625,2026-06-11,put,92,0.7302,2,430.0
2026-06-09,61750,2026-06-11,put,123,0.7271,2,455.0
2026-06-09,61875,2026-06-11,put,35,0.7267,2,485.0
2026-06-09,62000,2026-06-11,put,2712,0.722,2,510.0
2026-06-09,62125,2026-06-11,put,17,0.7197,2,540.0
2026-06-09,62250,2026-06-11,put,160,0.7134,2,565.0
2026-06-09,62375,2026-06-11,put,25,0.7095,2,595.0
2026-06-09,62500,2026-06-11,put,846,0.717,2,645.0
2026-06-09,62625,2026-06-11,put,30,0.7021,2,660.0
2026-06-09,62750,2026-06-11,put,288,0.7015,2,700.0
2026-06-09,62875,2026-06-11,put,22,0.6971,2,735.0
2026-06-09,63000,2026-06-11,put,1853,0.7061,2,795.0
2026-06-09,63125,2026-06-11,put,8,0.6912,2,815.0
2026-06-09,63250,2026-06-11,put,80,0.6897,2,860.0
2026-06-09,63375,2026-06-11,put,61,0.6899,2,910.0
2026-06-09,63500,2026-06-11,put,515,0.6891,2,960.0
2026-06-09,63625,2026-06-11,put,421,0.69,2,1015.0
2026-06-09,63750,2026-06-11,put,174,0.6094,2,920.0
2026-06-09,63875,2026-06-11,put,118,0.678,2,1105.0
2026-06-09,64000,2026-06-11,put,1053,0.6521,2,1115.0
2026-06-09,64125,2026-06-11,put,128,0.6887,2,1245.0
2026-06-09,64250,2026-06-11,put,100,0.6898,2,1310.0
2026-06-09,64375,2026-06-11,put,20,0.6952,2,1385.0
2026-06-09,64500,2026-06-11,put,1145,0.6864,2,1435.0
2026-06-09,64625,2026-06-11,put,15,0.6925,2,1515.0
