date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-06,20000,2026-08-13,put,regular,2572,2.5289,7,1.0
2026-08-06,22000,2026-08-13,put,regular,534,2.3332,7,1.0
2026-08-06,24000,2026-08-13,put,regular,563,2.1547,7,1.0
2026-08-06,25000,2026-08-13,put,regular,5446,2.071,7,1.0
2026-08-06,26000,2026-08-13,put,regular,111,1.9906,7,1.0
2026-08-06,27000,2026-08-13,put,regular,213,1.9133,7,1.0
2026-08-06,28000,2026-08-13,put,regular,332,1.8388,7,1.0
2026-08-06,29000,2026-08-13,put,regular,403,1.7669,7,1.0
2026-08-06,30000,2026-08-13,put,regular,5625,1.6974,7,1.0
2026-08-06,31000,2026-08-13,put,regular,145,1.6301,7,1.0
2026-08-06,32000,2026-08-13,put,regular,267,1.565,7,1.0
2026-08-06,33000,2026-08-13,put,regular,226,1.5018,7,1.0
2026-08-06,34000,2026-08-13,put,regular,208,1.4405,7,1.0
2026-08-06,35000,2026-08-13,put,regular,2164,1.3809,7,1.0
2026-08-06,36000,2026-08-13,put,regular,301,1.323,7,1.0
2026-08-06,37000,2026-08-13,put,regular,152,1.2666,7,1.0
2026-08-06,37250,2026-08-13,put,regular,60,1.2527,7,1.0
2026-08-06,37500,2026-08-13,put,regular,97,1.2389,7,1.0
2026-08-06,37750,2026-08-13,put,regular,58,1.2252,7,1.0
2026-08-06,38000,2026-08-13,put,regular,1625,1.2116,7,1.0
2026-08-06,38250,2026-08-13,put,regular,3,1.1981,7,1.0
2026-08-06,38500,2026-08-13,put,regular,90,1.1846,7,1.0
2026-08-06,38750,2026-08-13,put,regular,4,1.1713,7,1.0
2026-08-06,39000,2026-08-13,put,regular,366,1.158,7,1.0
2026-08-06,39250,2026-08-13,put,regular,20,1.1448,7,1.0
2026-08-06,39500,2026-08-13,put,regular,18,1.1317,7,1.0
2026-08-06,39750,2026-08-13,put,regular,12,1.1186,7,1.0
2026-08-06,40000,2026-08-13,put,regular,2183,1.1057,7,1.0
2026-08-06,40250,2026-08-13,put,regular,9,1.0928,7,1.0
2026-08-06,40500,2026-08-13,put,regular,44,1.08,7,1.0
2026-08-06,40750,2026-08-13,put,regular,9,1.0672,7,1.0
2026-08-06,41000,2026-08-13,put,regular,191,1.0546,7,1.0
2026-08-06,41250,2026-08-13,put,regular,25,1.042,7,1.0
2026-08-06,41500,2026-08-13,put,regular,65,1.0295,7,1.0
2026-08-06,41750,2026-08-13,put,regular,20,1.017,7,1.0
2026-08-06,42000,2026-08-13,put,regular,538,1.0046,7,1.0
2026-08-06,42250,2026-08-13,put,regular,36,0.9923,7,1.0
2026-08-06,42500,2026-08-13,put,regular,203,1.0346,7,2.0
2026-08-06,42750,2026-08-13,put,regular,37,1.0218,7,2.0
2026-08-06,43000,2026-08-13,put,regular,189,1.0091,7,2.0
2026-08-06,43250,2026-08-13,put,regular,17,0.9437,7,1.0
2026-08-06,43500,2026-08-13,put,regular,28,0.9839,7,2.0
2026-08-06,43750,2026-08-13,put,regular,49,0.9713,7,2.0
2026-08-06,44000,2026-08-13,put,regular,332,0.9589,7,2.0
2026-08-06,44250,2026-08-13,put,regular,9,0.9465,7,2.0
