date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-07,20000,2026-08-13,put,regular,2572,2.7101,6,1.0
2026-08-07,22000,2026-08-13,put,regular,534,2.4986,6,1.0
2026-08-07,24000,2026-08-13,put,regular,563,2.3057,6,1.0
2026-08-07,25000,2026-08-13,put,regular,5446,2.2153,6,1.0
2026-08-07,26000,2026-08-13,put,regular,111,2.1284,6,1.0
2026-08-07,27000,2026-08-13,put,regular,213,2.0448,6,1.0
2026-08-07,28000,2026-08-13,put,regular,331,1.9643,6,1.0
2026-08-07,29000,2026-08-13,put,regular,403,1.8865,6,1.0
2026-08-07,30000,2026-08-13,put,regular,5623,1.8114,6,1.0
2026-08-07,31000,2026-08-13,put,regular,145,1.7387,6,1.0
2026-08-07,32000,2026-08-13,put,regular,265,1.6683,6,1.0
2026-08-07,33000,2026-08-13,put,regular,225,1.6,6,1.0
2026-08-07,34000,2026-08-13,put,regular,208,1.5338,6,1.0
2026-08-07,35000,2026-08-13,put,regular,2164,1.4693,6,1.0
2026-08-07,36000,2026-08-13,put,regular,300,1.4067,6,1.0
2026-08-07,37000,2026-08-13,put,regular,152,1.3457,6,1.0
2026-08-07,37250,2026-08-13,put,regular,60,1.3307,6,1.0
2026-08-07,37500,2026-08-13,put,regular,97,1.3158,6,1.0
2026-08-07,37750,2026-08-13,put,regular,58,1.3009,6,1.0
2026-08-07,38000,2026-08-13,put,regular,1625,1.2862,6,1.0
2026-08-07,38250,2026-08-13,put,regular,3,1.2716,6,1.0
2026-08-07,38500,2026-08-13,put,regular,90,1.2571,6,1.0
2026-08-07,38750,2026-08-13,put,regular,4,1.2426,6,1.0
2026-08-07,39000,2026-08-13,put,regular,423,1.2282,6,1.0
2026-08-07,39250,2026-08-13,put,regular,20,1.214,6,1.0
2026-08-07,39500,2026-08-13,put,regular,19,1.1998,6,1.0
2026-08-07,39750,2026-08-13,put,regular,14,1.1857,6,1.0
2026-08-07,40000,2026-08-13,put,regular,2255,1.1717,6,1.0
2026-08-07,40250,2026-08-13,put,regular,9,1.1577,6,1.0
2026-08-07,40500,2026-08-13,put,regular,42,1.1439,6,1.0
