date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-18,20000,2026-09-10,put,regular,1437,1.4131,23,1.0
2026-08-18,21000,2026-09-10,put,regular,252,1.3579,23,1.0
2026-08-18,22000,2026-09-10,put,regular,426,1.3053,23,1.0
2026-08-18,23000,2026-09-10,put,regular,210,1.255,23,1.0
2026-08-18,24000,2026-09-10,put,regular,142,1.2069,23,1.0
2026-08-18,25000,2026-09-10,put,regular,3925,1.1608,23,1.0
2026-08-18,26000,2026-09-10,put,regular,168,1.1165,23,1.0
2026-08-18,27000,2026-09-10,put,regular,98,1.0739,23,1.0
2026-08-18,27250,2026-09-10,put,regular,1,1.0635,23,1.0
2026-08-18,27500,2026-09-10,put,regular,7,1.0531,23,1.0
2026-08-18,27750,2026-09-10,put,regular,1,1.0429,23,1.0
2026-08-18,28000,2026-09-10,put,regular,33,1.0328,23,1.0
2026-08-18,28250,2026-09-10,put,regular,1,1.0228,23,1.0
2026-08-18,28500,2026-09-10,put,regular,3,1.0128,23,1.0
2026-08-18,28750,2026-09-10,put,regular,66,1.003,23,1.0
2026-08-18,29000,2026-09-10,put,regular,55,0.9932,23,1.0
2026-08-18,29500,2026-09-10,put,regular,20,0.9739,23,1.0
2026-08-18,29750,2026-09-10,put,regular,2000,0.9643,23,1.0
2026-08-18,30000,2026-09-10,put,regular,6346,1.0052,23,2.0
2026-08-18,30500,2026-09-10,put,regular,86,0.9856,23,2.0
2026-08-18,30750,2026-09-10,put,regular,2,0.976,23,2.0
2026-08-18,31000,2026-09-10,put,regular,210,0.9664,23,2.0
2026-08-18,31500,2026-09-10,put,regular,160,0.9474,23,2.0
2026-08-18,32000,2026-09-10,put,regular,96,0.9287,23,2.0
2026-08-18,32500,2026-09-10,put,regular,13,0.9103,23,2.0
2026-08-18,33000,2026-09-10,put,regular,426,0.9217,23,3.0
2026-08-18,33250,2026-09-10,put,regular,1,0.8833,23,2.0
2026-08-18,33500,2026-09-10,put,regular,2,0.8744,23,2.0
2026-08-18,33750,2026-09-10,put,regular,3,0.8942,23,3.0
2026-08-18,34000,2026-09-10,put,regular,87,0.8852,23,3.0
2026-08-18,34250,2026-09-10,put,regular,1,0.8481,23,2.0
2026-08-18,34500,2026-09-10,put,regular,29,0.8887,23,4.0
2026-08-18,34750,2026-09-10,put,regular,69,0.8796,23,4.0
2026-08-18,35000,2026-09-10,put,regular,4021,0.8878,23,5.0
2026-08-18,35500,2026-09-10,put,regular,8,0.8529,23,4.0
2026-08-18,35750,2026-09-10,put,regular,50,0.8441,23,4.0
2026-08-18,36000,2026-09-10,put,regular,85,0.8354,23,4.0
2026-08-18,36500,2026-09-10,put,regular,32,0.8344,23,5.0
2026-08-18,36750,2026-09-10,put,regular,56,0.8257,23,5.0
2026-08-18,37000,2026-09-10,put,regular,573,0.817,23,5.0
2026-08-18,37500,2026-09-10,put,regular,2,0.7999,23,5.0
2026-08-18,37750,2026-09-10,put,regular,1,0.7914,23,5.0
2026-08-18,38000,2026-09-10,put,regular,928,0.7961,23,6.0
2026-08-18,38500,2026-09-10,put,regular,230,0.7791,23,6.0
2026-08-18,38750,2026-09-10,put,regular,1,0.7707,23,6.0
2026-08-18,39000,2026-09-10,put,regular,276,0.7735,23,7.0
2026-08-18,39250,2026-09-10,put,regular,165,0.7651,23,7.0
2026-08-18,39500,2026-09-10,put,regular,345,0.7665,23,8.0
2026-08-18,39750,2026-09-10,put,regular,3,0.7484,23,7.0
2026-08-18,40000,2026-09-10,put,regular,4761,0.7585,23,9.0
2026-08-18,40250,2026-09-10,put,regular,9000,0.7501,23,9.0
2026-08-18,40500,2026-09-10,put,regular,177,0.7418,23,9.0
2026-08-18,40750,2026-09-10,put,regular,42,0.7335,23,9.0
2026-08-18,41000,2026-09-10,put,regular,929,0.7253,23,9.0
2026-08-18,41250,2026-09-10,put,regular,1,0.7171,23,9.0
2026-08-18,41500,2026-09-10,put,regular,22,0.7165,23,10.0
2026-08-18,42000,2026-09-10,put,regular,2025,0.7071,23,11.0
2026-08-18,42250,2026-09-10,put,regular,21,0.6989,23,11.0
2026-08-18,42500,2026-09-10,put,regular,29,0.6971,23,12.0
2026-08-18,42750,2026-09-10,put,regular,17,0.689,23,12.0
2026-08-18,43000,2026-09-10,put,regular,1041,0.6809,23,12.0
2026-08-18,43250,2026-09-10,put,regular,60,0.6728,23,12.0
2026-08-18,43500,2026-09-10,put,regular,783,0.6705,23,13.0
2026-08-18,43750,2026-09-10,put,regular,14,0.6678,23,14.0
2026-08-18,44000,2026-09-10,put,regular,1441,0.6648,23,15.0
2026-08-18,44250,2026-09-10,put,regular,31,0.6567,23,15.0
2026-08-18,44500,2026-09-10,put,regular,129,0.6487,23,15.0
2026-08-18,44750,2026-09-10,put,regular,14,0.6453,23,16.0
2026-08-18,45000,2026-09-10,put,regular,2433,0.6417,23,17.0
2026-08-18,45250,2026-09-10,put,regular,105,0.6337,23,17.0
2026-08-18,45500,2026-09-10,put,regular,160,0.6299,23,18.0
2026-08-18,45750,2026-09-10,put,regular,60,0.6219,23,18.0
2026-08-18,46000,2026-09-10,put,regular,2061,0.6179,23,19.0
2026-08-18,46250,2026-09-10,put,regular,67,0.6172,23,21.0
2026-08-18,46500,2026-09-10,put,regular,391,0.6092,23,21.0
2026-08-18,46750,2026-09-10,put,regular,27,0.6046,23,22.0
2026-08-18,47000,2026-09-10,put,regular,1088,0.5999,23,23.0
2026-08-18,47250,2026-09-10,put,regular,124,0.592,23,23.0
2026-08-18,47500,2026-09-10,put,regular,1016,0.5871,23,24.0
2026-08-18,47750,2026-09-10,put,regular,92,0.585,23,26.0
2026-08-18,48000,2026-09-10,put,regular,3931,0.5798,23,27.0
2026-08-18,48250,2026-09-10,put,regular,123,0.5771,23,29.0
2026-08-18,48500,2026-09-10,put,regular,751,0.5717,23,30.0
2026-08-18,48750,2026-09-10,put,regular,150,0.5637,23,30.0
2026-08-18,49000,2026-09-10,put,regular,1436,0.5582,23,31.0
2026-08-18,49250,2026-09-10,put,regular,216,0.5525,23,32.0
2026-08-18,49500,2026-09-10,put,regular,202,0.5512,23,35.0
2026-08-18,49750,2026-09-10,put,regular,151,0.5432,23,35.0
2026-08-18,50000,2026-09-10,put,regular,9292,0.5413,23,38.0
2026-08-18,50250,2026-09-10,put,regular,83,0.5334,23,38.0
2026-08-18,50500,2026-09-10,put,regular,1325,0.5273,23,39.0
2026-08-18,50750,2026-09-10,put,regular,171,0.5194,23,39.0
2026-08-18,51000,2026-09-10,put,regular,1591,0.5186,23,43.0
2026-08-18,51250,2026-09-10,put,regular,214,0.5123,23,44.0
2026-08-18,51500,2026-09-10,put,regular,236,0.5076,23,46.0
2026-08-18,51750,2026-09-10,put,regular,48,0.5012,23,47.0
2026-08-18,52000,2026-09-10,put,regular,1904,0.4948,23,48.0
2026-08-18,52250,2026-09-10,put,regular,63,0.4912,23,51.0
2026-08-18,52500,2026-09-10,put,regular,652,0.4874,23,54.0
2026-08-18,52750,2026-09-10,put,regular,26,0.4794,23,54.0
2026-08-18,53000,2026-09-10,put,regular,2531,0.4714,23,54.0
2026-08-18,53250,2026-09-10,put,regular,37,0.4699,23,59.0
2026-08-18,53500,2026-09-10,put,regular,1712,0.4631,23,60.0
2026-08-18,53750,2026-09-10,put,regular,78,0.4586,23,63.0
2026-08-18,54000,2026-09-10,put,regular,2670,0.454,23,66.0
2026-08-18,54250,2026-09-10,put,regular,108,0.4448,23,65.0
2026-08-18,54500,2026-09-10,put,regular,456,0.4462,23,74.0
2026-08-18,54750,2026-09-10,put,regular,293,0.435,23,71.0
2026-08-18,55000,2026-09-10,put,regular,4533,0.4329,23,77.0
2026-08-18,55250,2026-09-10,put,regular,10,0.4266,23,79.0
2026-08-18,55500,2026-09-10,put,regular,795,0.4256,23,87.0
2026-08-18,55750,2026-09-10,put,regular,19,0.4121,23,81.0
2026-08-18,56000,2026-09-10,put,regular,1838,0.4141,23,93.0
2026-08-18,56250,2026-09-10,put,regular,30,0.405,23,92.0
2026-08-18,56500,2026-09-10,put,regular,800,0.4044,23,102.0
2026-08-18,56750,2026-09-10,put,regular,101,0.3953,23,101.0
