date,strike,expiry,type,oi,iv,days_to_expiry,settlement
2026-07-01,20000,2026-07-09,put,2096,2.4725,8,1.0
2026-07-01,22000,2026-07-09,put,439,2.29,8,1.0
2026-07-01,24000,2026-07-09,put,629,2.1236,8,1.0
2026-07-01,25000,2026-07-09,put,2970,2.0456,8,1.0
2026-07-01,26000,2026-07-09,put,385,1.9707,8,1.0
2026-07-01,27000,2026-07-09,put,297,1.8986,8,1.0
2026-07-01,28000,2026-07-09,put,143,1.8292,8,1.0
2026-07-01,29000,2026-07-09,put,280,1.7622,8,1.0
2026-07-01,30000,2026-07-09,put,2598,1.7861,8,2.0
2026-07-01,31000,2026-07-09,put,241,1.7205,8,2.0
2026-07-01,32000,2026-07-09,put,691,1.6569,8,2.0
2026-07-01,33000,2026-07-09,put,347,1.5953,8,2.0
2026-07-01,34000,2026-07-09,put,152,1.5354,8,2.0
2026-07-01,35000,2026-07-09,put,2179,1.4773,8,2.0
2026-07-01,35500,2026-07-09,put,104,1.4488,8,2.0
2026-07-01,36000,2026-07-09,put,172,1.4208,8,2.0
2026-07-01,36250,2026-07-09,put,1,1.4069,8,2.0
2026-07-01,36500,2026-07-09,put,114,1.3931,8,2.0
2026-07-01,36750,2026-07-09,put,3,1.425,8,3.0
2026-07-01,37000,2026-07-09,put,129,1.411,8,3.0
2026-07-01,37250,2026-07-09,put,2,1.3971,8,3.0
2026-07-01,37500,2026-07-09,put,105,1.3832,8,3.0
2026-07-01,37750,2026-07-09,put,2,1.3695,8,3.0
2026-07-01,38000,2026-07-09,put,140,1.3558,8,3.0
2026-07-01,38250,2026-07-09,put,2,1.3422,8,3.0
2026-07-01,38500,2026-07-09,put,231,1.3287,8,3.0
2026-07-01,39000,2026-07-09,put,670,1.302,8,3.0
2026-07-01,39500,2026-07-09,put,60,1.2756,8,3.0
2026-07-01,39750,2026-07-09,put,15,1.2625,8,3.0
2026-07-01,40000,2026-07-09,put,2608,1.2495,8,3.0
2026-07-01,40250,2026-07-09,put,14,1.2672,8,4.0
2026-07-01,40500,2026-07-09,put,171,1.2541,8,4.0
2026-07-01,40750,2026-07-09,put,17,1.241,8,4.0
2026-07-01,41000,2026-07-09,put,100,1.228,8,4.0
2026-07-01,41250,2026-07-09,put,57,1.2151,8,4.0
2026-07-01,41500,2026-07-09,put,213,1.2023,8,4.0
2026-07-01,41750,2026-07-09,put,13,1.1895,8,4.0
2026-07-01,42000,2026-07-09,put,325,1.1768,8,4.0
2026-07-01,42250,2026-07-09,put,20,1.1642,8,4.0
2026-07-01,42500,2026-07-09,put,207,1.1748,8,5.0
2026-07-01,42750,2026-07-09,put,68,1.1621,8,5.0
2026-07-01,43000,2026-07-09,put,838,1.1494,8,5.0
2026-07-01,43250,2026-07-09,put,25,1.1369,8,5.0
2026-07-01,43500,2026-07-09,put,92,1.1434,8,6.0
2026-07-01,43750,2026-07-09,put,27,1.1308,8,6.0
2026-07-01,44000,2026-07-09,put,375,1.1183,8,6.0
2026-07-01,44250,2026-07-09,put,82,1.1058,8,6.0
2026-07-01,44500,2026-07-09,put,468,1.0933,8,6.0
2026-07-01,44750,2026-07-09,put,47,1.081,8,6.0
2026-07-01,45000,2026-07-09,put,2387,1.0845,8,7.0
2026-07-01,45250,2026-07-09,put,25,1.0721,8,7.0
2026-07-01,45500,2026-07-09,put,225,1.0597,8,7.0
2026-07-01,45750,2026-07-09,put,17,1.0475,8,7.0
2026-07-01,46000,2026-07-09,put,711,1.0353,8,7.0
2026-07-01,46250,2026-07-09,put,79,1.0489,8,9.0
2026-07-01,46500,2026-07-09,put,317,1.0365,8,9.0
2026-07-01,46750,2026-07-09,put,4,1.0242,8,9.0
2026-07-01,47000,2026-07-09,put,1051,1.012,8,9.0
2026-07-01,47250,2026-07-09,put,47,1.0107,8,10.0
2026-07-01,47500,2026-07-09,put,188,0.9984,8,10.0
2026-07-01,47750,2026-07-09,put,163,0.9961,8,11.0
2026-07-01,48000,2026-07-09,put,2925,0.9839,8,11.0
2026-07-01,48250,2026-07-09,put,30,0.9717,8,11.0
2026-07-01,48500,2026-07-09,put,771,0.9595,8,11.0
2026-07-01,48750,2026-07-09,put,25,0.9725,8,14.0
2026-07-01,49000,2026-07-09,put,287,0.9676,8,15.0
2026-07-01,49250,2026-07-09,put,43,0.9623,8,16.0
2026-07-01,49500,2026-07-09,put,356,0.9499,8,16.0
2026-07-01,49750,2026-07-09,put,17,0.9377,8,16.0
2026-07-01,50000,2026-07-09,put,3201,0.9254,8,16.0
2026-07-01,50250,2026-07-09,put,17,0.9132,8,16.0
2026-07-01,50500,2026-07-09,put,100,0.9011,8,16.0
2026-07-01,50750,2026-07-09,put,4,0.9012,8,18.0
2026-07-01,51000,2026-07-09,put,1332,0.889,8,18.0
2026-07-01,51250,2026-07-09,put,4,0.8769,8,18.0
2026-07-01,51500,2026-07-09,put,802,0.8648,8,18.0
2026-07-01,51750,2026-07-09,put,8,0.8528,8,18.0
2026-07-01,52000,2026-07-09,put,1281,0.8408,8,18.0
2026-07-01,52250,2026-07-09,put,101,0.8394,8,20.0
2026-07-01,52500,2026-07-09,put,779,0.8417,8,23.0
2026-07-01,52750,2026-07-09,put,14,0.8295,8,23.0
2026-07-01,52875,2026-07-09,put,2,0.8279,8,24.0
2026-07-01,53000,2026-07-09,put,4071,0.8261,8,25.0
2026-07-01,53125,2026-07-09,put,4,0.82,8,25.0
2026-07-01,53250,2026-07-09,put,408,0.818,8,26.0
2026-07-01,53375,2026-07-09,put,163,0.8119,8,26.0
2026-07-01,53500,2026-07-09,put,211,0.8097,8,27.0
2026-07-01,53625,2026-07-09,put,4,0.8036,8,27.0
2026-07-01,53750,2026-07-09,put,19,0.8013,8,28.0
2026-07-01,53875,2026-07-09,put,110,0.7952,8,28.0
2026-07-01,54000,2026-07-09,put,805,0.7816,8,26.0
2026-07-01,54125,2026-07-09,put,8,0.7867,8,29.0
2026-07-01,54250,2026-07-09,put,17,0.7841,8,30.0
2026-07-01,54375,2026-07-09,put,22,0.778,8,30.0
2026-07-01,54500,2026-07-09,put,182,0.7753,8,31.0
2026-07-01,54625,2026-07-09,put,3,0.7725,8,32.0
2026-07-01,54750,2026-07-09,put,18,0.7696,8,33.0
2026-07-01,54875,2026-07-09,put,9,0.7666,8,34.0
2026-07-01,55000,2026-07-09,put,4775,0.7635,8,35.0
2026-07-01,55125,2026-07-09,put,11,0.7633,8,37.0
2026-07-01,55250,2026-07-09,put,9,0.7599,8,38.0
2026-07-01,55375,2026-07-09,put,11,0.7565,8,39.0
2026-07-01,55500,2026-07-09,put,498,0.753,8,40.0
2026-07-01,55625,2026-07-09,put,5,0.7521,8,42.0
2026-07-01,55750,2026-07-09,put,1,0.7459,8,42.0
2026-07-01,55875,2026-07-09,put,7,0.7397,8,42.0
