date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-25,20000,2026-09-10,put,regular,1502,1.6485,16,1.0
2026-08-25,21000,2026-09-10,put,regular,343,1.5822,16,1.0
2026-08-25,22000,2026-09-10,put,regular,485,1.5189,16,1.0
2026-08-25,23000,2026-09-10,put,regular,296,1.4586,16,1.0
2026-08-25,24000,2026-09-10,put,regular,131,1.4008,16,1.0
2026-08-25,25000,2026-09-10,put,regular,3944,1.3454,16,1.0
2026-08-25,26000,2026-09-10,put,regular,193,1.2921,16,1.0
2026-08-25,27000,2026-09-10,put,regular,197,1.2409,16,1.0
2026-08-25,27250,2026-09-10,put,regular,11,1.2284,16,1.0
2026-08-25,27500,2026-09-10,put,regular,21,1.216,16,1.0
2026-08-25,27750,2026-09-10,put,regular,8,1.2037,16,1.0
2026-08-25,28000,2026-09-10,put,regular,76,1.1916,16,1.0
2026-08-25,28250,2026-09-10,put,regular,1,1.1795,16,1.0
2026-08-25,28500,2026-09-10,put,regular,9,1.1675,16,1.0
2026-08-25,28750,2026-09-10,put,regular,68,1.1557,16,1.0
2026-08-25,29000,2026-09-10,put,regular,90,1.1439,16,1.0
2026-08-25,29250,2026-09-10,put,regular,3,1.1323,16,1.0
2026-08-25,29500,2026-09-10,put,regular,30,1.1207,16,1.0
2026-08-25,29750,2026-09-10,put,regular,11,1.1093,16,1.0
2026-08-25,30000,2026-09-10,put,regular,6357,1.1562,16,2.0
2026-08-25,30500,2026-09-10,put,regular,86,1.1327,16,2.0
2026-08-25,30750,2026-09-10,put,regular,4,1.0643,16,1.0
2026-08-25,31000,2026-09-10,put,regular,234,1.1095,16,2.0
2026-08-25,31500,2026-09-10,put,regular,22,1.0867,16,2.0
2026-08-25,31750,2026-09-10,put,regular,14,1.0209,16,1.0
2026-08-25,32000,2026-09-10,put,regular,136,1.0642,16,2.0
2026-08-25,32250,2026-09-10,put,regular,5,1.0531,16,2.0
2026-08-25,32500,2026-09-10,put,regular,33,1.0421,16,2.0
2026-08-25,32750,2026-09-10,put,regular,9,1.0312,16,2.0
2026-08-25,33000,2026-09-10,put,regular,503,1.0543,16,3.0
2026-08-25,33250,2026-09-10,put,regular,1,1.0432,16,3.0
2026-08-25,33500,2026-09-10,put,regular,7,1.0322,16,3.0
2026-08-25,33750,2026-09-10,put,regular,5,1.0213,16,3.0
2026-08-25,34000,2026-09-10,put,regular,189,1.0104,16,3.0
2026-08-25,34250,2026-09-10,put,regular,4,0.9996,16,3.0
2026-08-25,34500,2026-09-10,put,regular,33,1.0135,16,4.0
2026-08-25,34750,2026-09-10,put,regular,69,1.0026,16,4.0
2026-08-25,35000,2026-09-10,put,regular,3853,1.0116,16,5.0
2026-08-25,35250,2026-09-10,put,regular,2,0.9811,16,4.0
2026-08-25,35500,2026-09-10,put,regular,14,0.9704,16,4.0
2026-08-25,35750,2026-09-10,put,regular,51,0.979,16,5.0
2026-08-25,36000,2026-09-10,put,regular,116,0.9684,16,5.0
2026-08-25,36250,2026-09-10,put,regular,4,0.9389,16,4.0
2026-08-25,36500,2026-09-10,put,regular,38,0.9472,16,5.0
2026-08-25,36750,2026-09-10,put,regular,59,0.9367,16,5.0
2026-08-25,37000,2026-09-10,put,regular,584,0.9419,16,6.0
2026-08-25,37500,2026-09-10,put,regular,5,0.921,16,6.0
2026-08-25,37750,2026-09-10,put,regular,1,0.924,16,7.0
2026-08-25,38000,2026-09-10,put,regular,1033,0.9135,16,7.0
2026-08-25,38250,2026-09-10,put,regular,1,0.9031,16,7.0
2026-08-25,38500,2026-09-10,put,regular,243,0.8928,16,7.0
2026-08-25,38750,2026-09-10,put,regular,11,0.8941,16,8.0
2026-08-25,39000,2026-09-10,put,regular,236,0.9037,16,10.0
2026-08-25,39250,2026-09-10,put,regular,165,0.8933,16,10.0
2026-08-25,39500,2026-09-10,put,regular,302,0.8829,16,10.0
2026-08-25,39750,2026-09-10,put,regular,19,0.8725,16,10.0
2026-08-25,40000,2026-09-10,put,regular,4763,0.8708,16,11.0
2026-08-25,40250,2026-09-10,put,regular,2,0.8605,16,11.0
2026-08-25,40500,2026-09-10,put,regular,178,0.8502,16,11.0
2026-08-25,40750,2026-09-10,put,regular,49,0.8401,16,11.0
2026-08-25,41000,2026-09-10,put,regular,968,0.8376,16,12.0
2026-08-25,41250,2026-09-10,put,regular,1,0.8345,16,13.0
2026-08-25,41500,2026-09-10,put,regular,22,0.831,16,14.0
2026-08-25,42000,2026-09-10,put,regular,2080,0.8107,16,14.0
2026-08-25,42250,2026-09-10,put,regular,21,0.8067,16,15.0
2026-08-25,42500,2026-09-10,put,regular,30,0.8024,16,16.0
2026-08-25,42750,2026-09-10,put,regular,17,0.7923,16,16.0
2026-08-25,43000,2026-09-10,put,regular,1102,0.7876,16,17.0
2026-08-25,43250,2026-09-10,put,regular,60,0.7827,16,18.0
2026-08-25,43500,2026-09-10,put,regular,783,0.7726,16,18.0
2026-08-25,43750,2026-09-10,put,regular,14,0.7674,16,19.0
2026-08-25,44000,2026-09-10,put,regular,1417,0.7574,16,19.0
2026-08-25,44250,2026-09-10,put,regular,31,0.752,16,20.0
2026-08-25,44500,2026-09-10,put,regular,129,0.7463,16,21.0
2026-08-25,44750,2026-09-10,put,regular,14,0.7405,16,22.0
2026-08-25,45000,2026-09-10,put,regular,2292,0.7305,16,22.0
2026-08-25,45250,2026-09-10,put,regular,105,0.7245,16,23.0
2026-08-25,45500,2026-09-10,put,regular,160,0.7184,16,24.0
2026-08-25,45750,2026-09-10,put,regular,60,0.7121,16,25.0
2026-08-25,46000,2026-09-10,put,regular,2112,0.7056,16,26.0
2026-08-25,46250,2026-09-10,put,regular,66,0.7023,16,28.0
2026-08-25,46500,2026-09-10,put,regular,392,0.6923,16,28.0
2026-08-25,46750,2026-09-10,put,regular,27,0.6855,16,29.0
2026-08-25,47000,2026-09-10,put,regular,1107,0.6815,16,31.0
2026-08-25,47250,2026-09-10,put,regular,124,0.6772,16,33.0
2026-08-25,47500,2026-09-10,put,regular,1019,0.6673,16,33.0
2026-08-25,47750,2026-09-10,put,regular,92,0.66,16,34.0
2026-08-25,48000,2026-09-10,put,regular,2972,0.6527,16,35.0
2026-08-25,48250,2026-09-10,put,regular,124,0.6477,16,37.0
2026-08-25,48500,2026-09-10,put,regular,751,0.6401,16,38.0
2026-08-25,48750,2026-09-10,put,regular,151,0.6348,16,40.0
2026-08-25,49000,2026-09-10,put,regular,1468,0.627,16,41.0
2026-08-25,49250,2026-09-10,put,regular,216,0.6192,16,42.0
2026-08-25,49500,2026-09-10,put,regular,206,0.6154,16,45.0
2026-08-25,49750,2026-09-10,put,regular,151,0.6093,16,47.0
2026-08-25,50000,2026-09-10,put,regular,9835,0.5975,16,46.0
