date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-08-26,20000,2026-09-10,put,regular,1552,1.7159,15,1.0
2026-08-26,21000,2026-09-10,put,regular,343,1.6474,15,1.0
2026-08-26,22000,2026-09-10,put,regular,485,1.5821,15,1.0
2026-08-26,23000,2026-09-10,put,regular,296,1.5198,15,1.0
2026-08-26,24000,2026-09-10,put,regular,151,1.4602,15,1.0
2026-08-26,25000,2026-09-10,put,regular,3940,1.403,15,1.0
2026-08-26,26000,2026-09-10,put,regular,228,1.348,15,1.0
2026-08-26,27000,2026-09-10,put,regular,203,1.2952,15,1.0
2026-08-26,27250,2026-09-10,put,regular,11,1.2823,15,1.0
2026-08-26,27500,2026-09-10,put,regular,21,1.2695,15,1.0
2026-08-26,27750,2026-09-10,put,regular,8,1.2568,15,1.0
2026-08-26,28000,2026-09-10,put,regular,77,1.2442,15,1.0
2026-08-26,28250,2026-09-10,put,regular,1,1.2318,15,1.0
2026-08-26,28500,2026-09-10,put,regular,9,1.2194,15,1.0
2026-08-26,28750,2026-09-10,put,regular,68,1.2072,15,1.0
2026-08-26,29000,2026-09-10,put,regular,90,1.1951,15,1.0
2026-08-26,29250,2026-09-10,put,regular,3,1.183,15,1.0
2026-08-26,29500,2026-09-10,put,regular,30,1.1711,15,1.0
2026-08-26,29750,2026-09-10,put,regular,11,1.1593,15,1.0
2026-08-26,30000,2026-09-10,put,regular,6408,1.1476,15,1.0
2026-08-26,30500,2026-09-10,put,regular,86,1.1244,15,1.0
2026-08-26,30750,2026-09-10,put,regular,4,1.113,15,1.0
2026-08-26,31000,2026-09-10,put,regular,234,1.1602,15,2.0
2026-08-26,31500,2026-09-10,put,regular,22,1.0792,15,1.0
2026-08-26,31750,2026-09-10,put,regular,14,1.125,15,2.0
2026-08-26,32000,2026-09-10,put,regular,138,1.1135,15,2.0
2026-08-26,32250,2026-09-10,put,regular,5,1.0462,15,1.0
2026-08-26,32500,2026-09-10,put,regular,33,1.0907,15,2.0
2026-08-26,32750,2026-09-10,put,regular,9,1.0794,15,2.0
2026-08-26,33000,2026-09-10,put,regular,497,1.0682,15,2.0
2026-08-26,33250,2026-09-10,put,regular,1,1.0571,15,2.0
2026-08-26,33500,2026-09-10,put,regular,7,1.046,15,2.0
2026-08-26,33750,2026-09-10,put,regular,5,1.0696,15,3.0
2026-08-26,34000,2026-09-10,put,regular,176,1.0584,15,3.0
2026-08-26,34250,2026-09-10,put,regular,4,1.0473,15,3.0
2026-08-26,34500,2026-09-10,put,regular,39,1.0362,15,3.0
2026-08-26,34750,2026-09-10,put,regular,69,1.0506,15,4.0
2026-08-26,35000,2026-09-10,put,regular,3849,1.0395,15,4.0
2026-08-26,35250,2026-09-10,put,regular,2,1.0284,15,4.0
2026-08-26,35500,2026-09-10,put,regular,14,1.0174,15,4.0
2026-08-26,35750,2026-09-10,put,regular,51,1.0065,15,4.0
2026-08-26,36000,2026-09-10,put,regular,128,0.9957,15,4.0
2026-08-26,36250,2026-09-10,put,regular,4,1.0046,15,5.0
2026-08-26,36500,2026-09-10,put,regular,52,0.9742,15,4.0
2026-08-26,36750,2026-09-10,put,regular,59,0.9829,15,5.0
2026-08-26,37000,2026-09-10,put,regular,585,0.9722,15,5.0
2026-08-26,37500,2026-09-10,put,regular,5,0.9509,15,5.0
2026-08-26,37750,2026-09-10,put,regular,1,0.9562,15,6.0
2026-08-26,38000,2026-09-10,put,regular,971,0.9299,15,5.0
2026-08-26,38250,2026-09-10,put,regular,21,0.9195,15,5.0
2026-08-26,38500,2026-09-10,put,regular,243,0.9245,15,6.0
2026-08-26,38750,2026-09-10,put,regular,12,0.9275,15,7.0
2026-08-26,39000,2026-09-10,put,regular,213,0.917,15,7.0
2026-08-26,39250,2026-09-10,put,regular,165,0.9066,15,7.0
2026-08-26,39500,2026-09-10,put,regular,306,0.8831,15,6.0
2026-08-26,39750,2026-09-10,put,regular,19,0.8859,15,7.0
2026-08-26,40000,2026-09-10,put,regular,4773,0.8756,15,7.0
2026-08-26,40250,2026-09-10,put,regular,11,0.8767,15,8.0
2026-08-26,40500,2026-09-10,put,regular,179,0.8665,15,8.0
2026-08-26,40750,2026-09-10,put,regular,48,0.8664,15,9.0
2026-08-26,41000,2026-09-10,put,regular,965,0.8461,15,8.0
2026-08-26,41250,2026-09-10,put,regular,1,0.8459,15,9.0
2026-08-26,41500,2026-09-10,put,regular,22,0.8358,15,9.0
2026-08-26,41750,2026-09-10,put,regular,5,0.8346,15,10.0
2026-08-26,42000,2026-09-10,put,regular,2131,0.8245,15,10.0
2026-08-26,42250,2026-09-10,put,regular,21,0.8145,15,10.0
2026-08-26,42500,2026-09-10,put,regular,29,0.8044,15,10.0
2026-08-26,42750,2026-09-10,put,regular,17,0.8099,15,12.0
2026-08-26,43000,2026-09-10,put,regular,1103,0.7998,15,12.0
2026-08-26,43250,2026-09-10,put,regular,60,0.7897,15,12.0
2026-08-26,43500,2026-09-10,put,regular,883,0.7865,15,13.0
2026-08-26,43750,2026-09-10,put,regular,14,0.7765,15,13.0
2026-08-26,44000,2026-09-10,put,regular,1432,0.7729,15,14.0
2026-08-26,44250,2026-09-10,put,regular,31,0.7629,15,14.0
2026-08-26,44500,2026-09-10,put,regular,129,0.753,15,14.0
2026-08-26,44750,2026-09-10,put,regular,14,0.7489,15,15.0
2026-08-26,45000,2026-09-10,put,regular,2403,0.739,15,15.0
2026-08-26,45250,2026-09-10,put,regular,105,0.7345,15,16.0
2026-08-26,45500,2026-09-10,put,regular,160,0.7246,15,16.0
2026-08-26,45750,2026-09-10,put,regular,60,0.7198,15,17.0
2026-08-26,46000,2026-09-10,put,regular,2098,0.7148,15,18.0
2026-08-26,46250,2026-09-10,put,regular,66,0.7049,15,18.0
2026-08-26,46500,2026-09-10,put,regular,392,0.6996,15,19.0
2026-08-26,46750,2026-09-10,put,regular,27,0.6941,15,20.0
2026-08-26,47000,2026-09-10,put,regular,1105,0.6843,15,20.0
2026-08-26,47250,2026-09-10,put,regular,124,0.6824,15,22.0
2026-08-26,47500,2026-09-10,put,regular,1019,0.6726,15,22.0
2026-08-26,47750,2026-09-10,put,regular,92,0.67,15,24.0
2026-08-26,48000,2026-09-10,put,regular,2977,0.6602,15,24.0
2026-08-26,48250,2026-09-10,put,regular,124,0.6538,15,25.0
