date,strike,expiry,type,oi,iv,days_to_expiry,settlement
2026-06-16,20000,2026-07-09,put,2026,1.4425,23,1.0
2026-06-16,22000,2026-07-09,put,201,1.3348,23,1.0
2026-06-16,24000,2026-07-09,put,164,1.3004,23,2.0
2026-06-16,25000,2026-07-09,put,2446,1.2521,23,2.0
2026-06-16,26000,2026-07-09,put,380,1.2445,23,3.0
2026-06-16,27000,2026-07-09,put,130,1.1986,23,3.0
2026-06-16,28000,2026-07-09,put,86,1.1543,23,3.0
2026-06-16,29000,2026-07-09,put,190,1.1382,23,4.0
2026-06-16,30000,2026-07-09,put,2105,1.1171,23,5.0
2026-06-16,31000,2026-07-09,put,194,1.0756,23,5.0
2026-06-16,32000,2026-07-09,put,636,1.0522,23,6.0
2026-06-16,33000,2026-07-09,put,299,1.0269,23,7.0
2026-06-16,34000,2026-07-09,put,96,1.0003,23,8.0
2026-06-16,35000,2026-07-09,put,1409,0.9729,23,9.0
2026-06-16,35500,2026-07-09,put,100,0.954,23,9.0
2026-06-16,35750,2026-07-09,put,1,0.9446,23,9.0
2026-06-16,36000,2026-07-09,put,144,0.9249,23,8.0
2026-06-16,36500,2026-07-09,put,106,0.9169,23,9.0
2026-06-16,36750,2026-07-09,put,3,0.9172,23,10.0
2026-06-16,37000,2026-07-09,put,66,0.9167,23,11.0
2026-06-16,37250,2026-07-09,put,1,0.9155,23,12.0
2026-06-16,37500,2026-07-09,put,105,0.9064,23,12.0
2026-06-16,37750,2026-07-09,put,220000,0.8894,23,11.0
2026-06-16,38000,2026-07-09,put,145,0.8882,23,12.0
2026-06-16,38250,2026-07-09,put,2,0.8933,23,14.0
2026-06-16,38500,2026-07-09,put,232,0.8842,23,14.0
2026-06-16,39000,2026-07-09,put,626,0.8663,23,14.0
2026-06-16,39250,2026-07-09,put,68000,0.8636,23,15.0
2026-06-16,39500,2026-07-09,put,60,0.8606,23,16.0
2026-06-16,39750,2026-07-09,put,4,0.8573,23,17.0
2026-06-16,40000,2026-07-09,put,2038,0.8537,23,18.0
2026-06-16,40250,2026-07-09,put,14,0.8499,23,19.0
2026-06-16,40500,2026-07-09,put,159,0.841,23,19.0
2026-06-16,40750,2026-07-09,put,11,0.8369,23,20.0
2026-06-16,41000,2026-07-09,put,65,0.8281,23,20.0
2026-06-16,41250,2026-07-09,put,57,0.8239,23,21.0
2026-06-16,41500,2026-07-09,put,218,0.8194,23,22.0
2026-06-16,41750,2026-07-09,put,11,0.8106,23,22.0
2026-06-16,42000,2026-07-09,put,275,0.8019,23,22.0
2026-06-16,42250,2026-07-09,put,12,0.8051,23,25.0
2026-06-16,42500,2026-07-09,put,208,0.7964,23,25.0
2026-06-16,42750,2026-07-09,put,68,0.7914,23,26.0
2026-06-16,43000,2026-07-09,put,796,0.7862,23,27.0
2026-06-16,43250,2026-07-09,put,23,0.781,23,28.0
2026-06-16,43500,2026-07-09,put,88,0.7723,23,28.0
2026-06-16,43750,2026-07-09,put,27,0.767,23,29.0
2026-06-16,44000,2026-07-09,put,376,0.7615,23,30.0
2026-06-16,44250,2026-07-09,put,82,0.756,23,31.0
2026-06-16,44500,2026-07-09,put,472,0.7504,23,32.0
2026-06-16,44750,2026-07-09,put,47,0.7475,23,34.0
2026-06-16,45000,2026-07-09,put,2104,0.7333,23,32.0
2026-06-16,45250,2026-07-09,put,26,0.7358,23,36.0
2026-06-16,45500,2026-07-09,put,225,0.7323,23,38.0
2026-06-16,45750,2026-07-09,put,17,0.7262,23,39.0
2026-06-16,46000,2026-07-09,put,1309,0.7103,23,36.0
2026-06-16,46250,2026-07-09,put,79,0.7162,23,42.0
2026-06-16,46500,2026-07-09,put,317,0.7099,23,43.0
2026-06-16,46750,2026-07-09,put,4,0.7057,23,45.0
2026-06-16,47000,2026-07-09,put,994,0.6972,23,45.0
2026-06-16,47250,2026-07-09,put,47,0.6908,23,46.0
2026-06-16,47500,2026-07-09,put,199,0.6843,23,47.0
2026-06-16,47750,2026-07-09,put,64,0.6779,23,48.0
2026-06-16,48000,2026-07-09,put,3048,0.6714,23,49.0
2026-06-16,48250,2026-07-09,put,30,0.6667,23,51.0
2026-06-16,48500,2026-07-09,put,517,0.6583,23,51.0
2026-06-16,48750,2026-07-09,put,25,0.6517,23,52.0
2026-06-16,49000,2026-07-09,put,284,0.6434,23,52.0
2026-06-16,49250,2026-07-09,put,41,0.6418,23,56.0
2026-06-16,49500,2026-07-09,put,422,0.6399,23,60.0
2026-06-16,49750,2026-07-09,put,16,0.6315,23,60.0
2026-06-16,50000,2026-07-09,put,3107,0.6277,23,63.0
2026-06-16,50250,2026-07-09,put,15,0.6178,23,62.0
2026-06-16,50500,2026-07-09,put,154,0.6139,23,65.0
2026-06-16,50750,2026-07-09,put,4,0.6124,23,70.0
2026-06-16,51000,2026-07-09,put,1266,0.6066,23,72.0
2026-06-16,51250,2026-07-09,put,3,0.5983,23,72.0
