date,strike,expiry,type,oi,iv,days_to_expiry,settlement
2026-06-11,20000,2026-07-09,put,906,1.3403,28,3.0
2026-06-11,22000,2026-07-09,put,25,1.2638,28,4.0
2026-06-11,24000,2026-07-09,put,45,1.2066,28,6.0
2026-06-11,25000,2026-07-09,put,2313,1.1587,28,6.0
2026-06-11,26000,2026-07-09,put,191,1.1423,28,8.0
2026-06-11,27000,2026-07-09,put,75,1.1093,28,9.0
2026-06-11,28000,2026-07-09,put,47,1.076,28,10.0
2026-06-11,29000,2026-07-09,put,15,1.0518,28,12.0
2026-06-11,30000,2026-07-09,put,1694,1.0255,28,14.0
2026-06-11,31000,2026-07-09,put,27,0.9979,28,16.0
2026-06-11,32000,2026-07-09,put,242,0.9751,28,19.0
2026-06-11,33000,2026-07-09,put,188,0.9404,28,20.0
2026-06-11,34000,2026-07-09,put,67,0.9243,28,25.0
2026-06-11,35000,2026-07-09,put,764,0.8973,28,28.0
2026-06-11,35500,2026-07-09,put,100,0.8853,28,30.0
2026-06-11,36000,2026-07-09,put,113,0.8729,28,32.0
2026-06-11,36500,2026-07-09,put,100,0.8603,28,34.0
2026-06-11,37000,2026-07-09,put,22,0.8474,28,36.0
2026-06-11,37500,2026-07-09,put,105,0.8398,28,40.0
2026-06-11,38000,2026-07-09,put,119,0.8262,28,42.0
2026-06-11,38250,2026-07-09,put,2,0.8218,28,44.0
2026-06-11,38500,2026-07-09,put,200,0.8173,28,46.0
2026-06-11,39000,2026-07-09,put,616,0.801,28,47.0
2026-06-11,39500,2026-07-09,put,58,0.7891,28,50.0
2026-06-11,39750,2026-07-09,put,1,0.782,28,51.0
2026-06-11,40000,2026-07-09,put,1290,0.7728,28,51.0
2026-06-11,40250,2026-07-09,put,13,0.7697,28,54.0
2026-06-11,40500,2026-07-09,put,160,0.7625,28,55.0
2026-06-11,40750,2026-07-09,put,10,0.7572,28,57.0
2026-06-11,41000,2026-07-09,put,58,0.75,28,58.0
2026-06-11,41250,2026-07-09,put,57,0.7445,28,60.0
2026-06-11,41500,2026-07-09,put,220,0.7372,28,61.0
2026-06-11,41750,2026-07-09,put,11,0.7316,28,63.0
2026-06-11,42000,2026-07-09,put,280,0.7275,28,66.0
2026-06-11,42250,2026-07-09,put,11,0.7201,28,67.0
2026-06-11,42500,2026-07-09,put,206,0.7142,28,69.0
2026-06-11,42750,2026-07-09,put,68,0.7097,28,72.0
2026-06-11,43000,2026-07-09,put,778,0.7037,28,74.0
2026-06-11,43250,2026-07-09,put,23,0.6975,28,76.0
2026-06-11,43500,2026-07-09,put,128,0.6927,28,79.0
2026-06-11,43750,2026-07-09,put,26,0.6877,28,82.0
2026-06-11,44000,2026-07-09,put,384,0.6814,28,84.0
2026-06-11,44250,2026-07-09,put,82,0.6762,28,87.0
2026-06-11,44500,2026-07-09,put,564,0.6709,28,90.0
2026-06-11,44750,2026-07-09,put,47,0.6643,28,92.0
2026-06-11,45000,2026-07-09,put,2062,0.6611,28,97.0
2026-06-11,45250,2026-07-09,put,23,0.6532,28,98.0
2026-06-11,45500,2026-07-09,put,224,0.6486,28,102.0
2026-06-11,45750,2026-07-09,put,17,0.6428,28,105.0
2026-06-11,46000,2026-07-09,put,1227,0.6369,28,108.0
2026-06-11,46250,2026-07-09,put,77,0.63,28,110.0
2026-06-11,46500,2026-07-09,put,284,0.6268,28,116.0
2026-06-11,46750,2026-07-09,put,3,0.6207,28,119.0
2026-06-11,47000,2026-07-09,put,636,0.6189,28,127.0
2026-06-11,47250,2026-07-09,put,41,0.6099,28,127.0
2026-06-11,47500,2026-07-09,put,153,0.6052,28,132.0
2026-06-11,47750,2026-07-09,put,63,0.5995,28,136.0
2026-06-11,48000,2026-07-09,put,1003,0.5961,28,143.0
2026-06-11,48250,2026-07-09,put,30,0.5894,28,146.0
2026-06-11,48500,2026-07-09,put,415,0.5878,28,156.0
2026-06-11,48750,2026-07-09,put,23,0.5788,28,156.0
2026-06-11,49000,2026-07-09,put,235,0.578,28,168.0
2026-06-11,49250,2026-07-09,put,29,0.569,28,168.0
2026-06-11,49500,2026-07-09,put,291,0.5639,28,174.0
2026-06-11,49750,2026-07-09,put,10,0.5593,28,181.0
2026-06-11,50000,2026-07-09,put,2624,0.5563,28,191.0
2026-06-11,50250,2026-07-09,put,15,0.549,28,194.0
2026-06-11,50500,2026-07-09,put,121,0.5439,28,201.0
2026-06-11,50750,2026-07-09,put,3,0.5403,28,211.0
2026-06-11,51000,2026-07-09,put,1074,0.5365,28,221.0
2026-06-11,51250,2026-07-09,put,5,0.5304,28,227.0
