date,strike,expiry,type,product,oi,iv,days_to_expiry,settlement
2026-07-30,20000,2026-08-13,put,regular,2494,1.6865,14,1.0
2026-07-30,22000,2026-08-13,put,regular,531,1.6289,14,2.0
2026-07-30,24000,2026-08-13,put,regular,429,1.4958,14,2.0
2026-07-30,25000,2026-08-13,put,regular,5333,1.4806,14,3.0
2026-07-30,26000,2026-08-13,put,regular,122,1.4188,14,3.0
2026-07-30,27000,2026-08-13,put,regular,180,1.3926,14,4.0
2026-07-30,28000,2026-08-13,put,regular,292,1.334,14,4.0
2026-07-30,29000,2026-08-13,put,regular,281,1.2775,14,4.0
2026-07-30,30000,2026-08-13,put,regular,5592,1.247,14,5.0
2026-07-30,31000,2026-08-13,put,regular,350,1.2131,14,6.0
2026-07-30,32000,2026-08-13,put,regular,238,1.1601,14,6.0
2026-07-30,33000,2026-08-13,put,regular,181,1.1395,14,8.0
2026-07-30,34000,2026-08-13,put,regular,151,1.101,14,9.0
2026-07-30,35000,2026-08-13,put,regular,2148,1.0619,14,10.0
2026-07-30,36000,2026-08-13,put,regular,249,1.0225,14,11.0
2026-07-30,37000,2026-08-13,put,regular,201,0.9993,14,14.0
2026-07-30,37250,2026-08-13,put,regular,3,0.9871,14,14.0
2026-07-30,37500,2026-08-13,put,regular,53,0.9823,14,15.0
2026-07-30,37750,2026-08-13,put,regular,46000,0.9702,14,15.0
2026-07-30,38000,2026-08-13,put,regular,1586,0.965,14,16.0
2026-07-30,38250,2026-08-13,put,regular,4,0.953,14,16.0
2026-07-30,38500,2026-08-13,put,regular,82,0.9536,14,18.0
2026-07-30,38750,2026-08-13,put,regular,3,0.9415,14,18.0
2026-07-30,39000,2026-08-13,put,regular,226,0.9295,14,18.0
2026-07-30,39250,2026-08-13,put,regular,5,0.9233,14,19.0
2026-07-30,39500,2026-08-13,put,regular,8,0.9169,14,20.0
2026-07-30,39750,2026-08-13,put,regular,12,0.9102,14,21.0
2026-07-30,40000,2026-08-13,put,regular,2081,0.8983,14,21.0
2026-07-30,40250,2026-08-13,put,regular,7,0.8914,14,22.0
2026-07-30,40500,2026-08-13,put,regular,34,0.8889,14,24.0
2026-07-30,40750,2026-08-13,put,regular,14,0.877,14,24.0
2026-07-30,41000,2026-08-13,put,regular,172,0.8695,14,25.0
2026-07-30,41250,2026-08-13,put,regular,25,0.8619,14,26.0
2026-07-30,41500,2026-08-13,put,regular,22,0.8542,14,27.0
2026-07-30,41750,2026-08-13,put,regular,20,0.8463,14,28.0
2026-07-30,42000,2026-08-13,put,regular,491,0.8345,14,28.0
2026-07-30,42250,2026-08-13,put,regular,1,0.8265,14,29.0
2026-07-30,42500,2026-08-13,put,regular,139,0.8184,14,30.0
2026-07-30,42750,2026-08-13,put,regular,37,0.8136,14,32.0
2026-07-30,43000,2026-08-13,put,regular,174,0.8084,14,34.0
2026-07-30,43250,2026-08-13,put,regular,10,0.8028,14,36.0
2026-07-30,43500,2026-08-13,put,regular,14,0.7969,14,38.0
2026-07-30,43750,2026-08-13,put,regular,49,0.7907,14,40.0
2026-07-30,44000,2026-08-13,put,regular,258,0.7894,14,44.0
2026-07-30,44250,2026-08-13,put,regular,9,0.7801,14,45.0
2026-07-30,44500,2026-08-13,put,regular,121,0.7707,14,46.0
2026-07-30,44750,2026-08-13,put,regular,57,0.7613,14,47.0
2026-07-30,45000,2026-08-13,put,regular,2392,0.7518,14,48.0
2026-07-30,45250,2026-08-13,put,regular,130,0.7445,14,50.0
2026-07-30,45500,2026-08-13,put,regular,201,0.737,14,52.0
2026-07-30,45750,2026-08-13,put,regular,33,0.7334,14,56.0
2026-07-30,46000,2026-08-13,put,regular,415,0.7293,14,60.0
2026-07-30,46250,2026-08-13,put,regular,21,0.7211,14,62.0
2026-07-30,46500,2026-08-13,put,regular,282,0.7145,14,65.0
